,c1,c2,jac,cos
0,ARE,ARG,0.007345225603357817,0.6504550013396627
1,ARE,AUT,0.013727560718057022,0.7076958366342357
2,ARE,AUS,0.006289308176100629,0.6941612369194898
3,ARE,BGD,0.00946372239747634,0.6669715136421217
4,ARE,BEL,0.006289308176100629,0.6760106877768192
5,ARE,BGR,0.004709576138147566,0.663980751237071
6,ARE,BRA,0.0020876826722338203,0.5894518471100834
7,ARE,BWA,0.0041841004184100415,0.5439643720731694
8,ARE,CAN,0.003134796238244514,0.7124106237805952
9,ARE,CHE,0.001564945226917058,0.6888492114729365
10,ARE,CHL,0.005235602094240838,0.6871728134613231
11,ARE,CHN,0.004709576138147566,0.6828595372114759
12,ARE,COL,0.005762179151388162,0.6394431358939876
13,ARE,CUB,0.003134796238244514,0.6666659500068485
14,ARE,CZE,0.0036591740721380033,0.6699463771982446
15,ARE,DEU,0.005235602094240838,0.7066400150839947
16,ARE,EGY,0.007345225603357817,0.6841367385997635
17,ARE,ETH,0.004709576138147566,0.6540924247287012
18,ARE,FRA,0.011058451816745656,0.689312596135871
19,ARE,GBR,0.003134796238244514,0.6799489023871745
20,ARE,GHA,0.0026109660574412533,0.7157434357577314
21,ARE,GRC,0.004709576138147566,0.677885078684251
22,ARE,HKG,0.009994739610731194,0.6631213135305336
23,ARE,HUN,0.007345225603357817,0.6786579388941291
24,ARE,IDN,0.0068169900367068695,0.6471132108140257
25,ARE,IRL,0.03170338527673294,0.728370790506669
26,ARE,ISR,0.006289308176100629,0.6854150358275932
27,ARE,IND,0.005235602094240838,0.7338730572285251
28,ARE,ITA,0.010526315789473684,0.665362823153241
29,ARE,JPN,0.0026109660574412533,0.6647521747973228
30,ARE,KEN,0.0026109660574412533,0.625734843706957
31,ARE,KOR,0.003134796238244514,0.5626975642717412
32,ARE,LBN,0.0068169900367068695,0.6723965929399537
33,ARE,LTU,0.004709576138147566,0.5663378941911335
34,ARE,LVA,0.013192612137203167,0.6495415800347434
35,ARE,MAR,0.0020876826722338203,0.6436456529560267
36,ARE,MEX,0.003134796238244514,0.6333679892783278
37,ARE,MYS,0.003134796238244514,0.6638736076325032
38,ARE,NAM,0.02127659574468085,0.7018223380992914
39,ARE,NGA,0.003134796238244514,0.6789154915209761
40,ARE,NLD,0.007345225603357817,0.6428786185128023
41,ARE,NOR,0.004709576138147566,0.637683706281663
42,ARE,NZL,0.011058451816745656,0.6647360421272575
43,ARE,PER,0.003134796238244514,0.6098573436562947
44,ARE,PHL,0.0020876826722338203,0.6719813825138244
45,ARE,PAK,0.003134796238244514,0.6567861190107497
46,ARE,POL,0.011058451816745656,0.6920686451865721
47,ARE,PRT,0.0026109660574412533,0.6223514922963251
48,ARE,ROU,0.004709576138147566,0.6785697273860496
49,ARE,SRB,0.005762179151388162,0.6704247463932493
50,ARE,RUS,0.0005211047420531526,0.6723050606582164
51,ARE,SAU,0.003134796238244514,0.631000158684808
52,ARE,SWE,0.004709576138147566,0.6251490269431397
53,ARE,SGP,0.005235602094240838,0.6574843911536601
54,ARE,SVN,0.004709576138147566,0.6418906748095511
55,ARE,SVK,0.003134796238244514,0.5841657290919785
56,ARE,SEN,0.003134796238244514,0.6295637809563036
57,ARE,THA,0.003134796238244514,0.6637396096560408
58,ARE,TUR,0.0026109660574412533,0.618963782150462
59,ARE,TWN,0.003134796238244514,0.6915649726535826
60,ARE,TZA,0.0068169900367068695,0.6893140799702142
61,ARE,UKR,0.0036591740721380033,0.6537821679322627
62,ARE,UGA,0.0026109660574412533,0.6693139339125417
63,ARE,USA,0.0068169900367068695,0.697540008859888
64,ARE,VEN,0.008403361344537815,0.6066046796893639
65,ARE,VNM,0.010526315789473684,0.662417670703013
66,ARE,ZAF,0.0041841004184100415,0.6268677353292031
67,ARE,ZWE,0.0020876826722338203,0.5408037010650576
68,ARG,AUT,0.011591148577449948,0.728489878265919
69,ARG,AUS,0.007345225603357817,0.7180577731865234
70,ARG,BGD,0.003134796238244514,0.6586185417985007
71,ARG,BEL,0.0068169900367068695,0.6737033292569491
72,ARG,BGR,0.0020876826722338203,0.6759799981432031
73,ARG,BRA,0.0041841004184100415,0.6523467863508454
74,ARG,BWA,0.006289308176100629,0.6007934124591344
75,ARG,CAN,0.007874015748031496,0.7235169927291645
76,ARG,CHE,0.0041841004184100415,0.711263297755186
77,ARG,CHL,0.0041841004184100415,0.7325602435689728
78,ARG,CHN,0.0026109660574412533,0.6556510935749373
79,ARG,COL,0.008933263268523384,0.6545753463319145
80,ARG,CUB,0.0068169900367068695,0.6885733719678229
81,ARG,CZE,0.0041841004184100415,0.694797056418189
82,ARG,DEU,0.0026109660574412533,0.6872227630855642
83,ARG,EGY,0.004709576138147566,0.6961354860561666
84,ARG,ETH,0.06135986733001658,0.7808204606554955
85,ARG,FRA,0.0036591740721380033,0.6802121621677929
86,ARG,GBR,0.0020876826722338203,0.6967946116849789
87,ARG,GHA,0.011591148577449948,0.7811049609943114
88,ARG,GRC,0.0026109660574412533,0.6876463772874534
89,ARG,HKG,0.008933263268523384,0.6892991514948311
90,ARG,HUN,0.025093432995194873,0.7229062263723021
91,ARG,IDN,0.007345225603357817,0.6615463743832396
92,ARG,IRL,0.008933263268523384,0.6931250513961554
93,ARG,ISR,0.0020876826722338203,0.6678339296871131
94,ARG,IND,0.003134796238244514,0.7403612860874859
95,ARG,ITA,0.005235602094240838,0.6586782091992168
96,ARG,JPN,0.0036591740721380033,0.6662612700966181
97,ARG,KEN,0.004709576138147566,0.6484769324091393
98,ARG,KOR,0.0041841004184100415,0.6146018319924321
