,c1,c2,jac,cos
0,ARG,AUS,0.06077348066298342,0.8618244912907008
1,ARG,AUT,0.04746317512274959,0.862962895394387
2,ARG,BGD,0.05263157894736842,0.845294328270502
3,ARG,BEL,0.0367170626349892,0.8511768991294955
4,ARG,BWA,0.05090311986863711,0.8314862719510547
5,ARG,BRA,0.09090909090909091,0.895685064875841
6,ARG,BGR,0.07023411371237458,0.8744105012523402
7,ARG,CAN,0.03170338527673294,0.8432580786927018
8,ARG,CHL,0.09777015437392796,0.9031232016973155
9,ARG,CHN,0.030042918454935622,0.8368479915065585
10,ARG,COL,0.09401709401709402,0.9041259823133728
11,ARG,CUB,0.07623318385650224,0.8857283183165623
12,ARG,CZE,0.06371191135734072,0.8494507441325304
13,ARG,EGY,0.06312292358803986,0.8706646599175121
14,ARG,ETH,0.052054794520547946,0.8357744847940313
15,ARG,FRA,0.03559870550161812,0.8540830022848663
16,ARG,DEU,0.04689203925845147,0.8467988508014608
17,ARG,GHA,0.04746317512274959,0.8330233038713979
18,ARG,GRC,0.056686846450192625,0.8533515819865579
19,ARG,HKG,0.028387787895018748,0.8037695142343951
20,ARG,HUN,0.05785123966942149,0.852586754350898
21,ARG,IND,0.025093432995194873,0.8273464009940094
22,ARG,IDN,0.06371191135734072,0.8713634819225576
23,ARG,IRL,0.03559870550161812,0.8559061508709638
24,ARG,ISR,0.03170338527673294,0.8385333324974702
25,ARG,ITA,0.055525013743815285,0.8735143337737823
26,ARG,JPN,0.041779706999457406,0.8289019924788417
27,ARG,LVA,0.06312292358803986,0.8570681276607198
28,ARG,LBN,0.061946902654867256,0.8588173615714969
29,ARG,LTU,0.054365733113673806,0.8471407833251989
30,ARG,MYS,0.02454642475987193,0.8264933467684176
31,ARG,MEX,0.08720271800679502,0.8906258983721347
32,ARG,MAR,0.053208996160175534,0.8409893813767767
33,ARG,NAM,0.05378704720087816,0.8471630124764614
34,ARG,NLD,0.05147864184008762,0.8572665060883241
35,ARG,NZL,0.04860731840524304,0.838932961599445
36,ARG,NGA,0.027837259100642397,0.8188285835424103
37,ARG,NOR,0.04689203925845147,0.8327743570437015
38,ARG,PAK,0.04632152588555858,0.8514414963680644
39,ARG,PER,0.09714285714285714,0.9031988710345585
40,ARG,PHL,0.07623318385650224,0.885808299198141
41,ARG,POL,0.05843439911797133,0.8525566547130788
42,ARG,PRT,0.06548279689234185,0.8743833597683808
43,ARG,KOR,0.0041841004184100415,0.822590022656316
44,ARG,ROU,0.04689203925845147,0.8425233365463098
45,ARG,RUS,0.028938906752411574,0.8294774226695096
46,ARG,SAU,0.054945054945054944,0.8620034174624575
47,ARG,SEN,0.059602649006622516,0.8492058675719314
48,ARG,SRB,0.06371191135734072,0.848451854840923
49,ARG,SVK,0.05843439911797133,0.8510092926435646
50,ARG,SVN,0.05378704720087816,0.8409992785275494
51,ARG,ZAF,0.045182362547632006,0.834632404383363
52,ARG,SWE,0.06430155210643015,0.8606260079231565
53,ARG,CHE,0.04461371055495103,0.857938472933921
54,ARG,TWN,0.04860731840524304,0.8512004740430674
55,ARG,TZA,0.06312292358803986,0.8693703782752709
56,ARG,THA,0.055525013743815285,0.8573953665703801
57,ARG,TUR,0.03615758229897464,0.85346449004596
58,ARG,UGA,0.03783783783783784,0.8256690538297126
59,ARG,UKR,0.028387787895018748,0.8480394378133551
